commodity,msha_name,series,year,quarter,units,price
silver,Silver Ore,SILVERH,2007,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2007,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2007,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2007,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2008,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2008,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2008,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2008,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2009,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2009,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2009,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2009,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2010,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2010,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2010,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2010,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2011,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2011,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2011,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2011,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2012,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2012,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2012,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2012,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2013,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2013,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2013,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2013,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2014,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2014,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2014,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2014,4,$cents/troy_ounce,
