commodity,msha_name,series,year,quarter,units,price
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2000,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2001,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2001,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2001,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2001,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2002,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2002,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2002,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2002,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2003,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2003,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2003,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2003,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2004,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2004,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2004,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2004,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2005,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2005,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2005,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2005,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2006,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2006,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2006,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2006,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2007,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2007,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2007,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2007,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2008,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2008,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2008,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2008,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2009,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2009,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2009,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2009,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2010,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2010,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2010,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2010,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2011,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2011,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2011,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2011,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2012,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2012,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2012,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2012,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2013,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2013,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2013,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2013,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2014,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2014,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2014,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2014,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2015,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2015,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2015,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2015,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2016,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1993,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1994,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1994,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1994,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1994,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1995,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1995,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1995,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1995,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1996,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1996,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1996,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1996,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1997,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1997,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1997,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1997,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1998,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1998,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1998,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1998,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1999,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1999,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1999,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,1999,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2000,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2000,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2000,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2000,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2001,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2001,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2001,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2001,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2002,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2002,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2002,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2002,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2003,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2003,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2003,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2003,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2004,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2004,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2004,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2004,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2005,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2005,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2005,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2005,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2006,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2006,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2006,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2006,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2007,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2007,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2007,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2007,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2008,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2008,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2008,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2008,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2009,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2009,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2009,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2009,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2010,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2010,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2010,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2010,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2011,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2011,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2011,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2011,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2012,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2012,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2012,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2012,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2013,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2013,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2013,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2013,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2014,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2014,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2014,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2014,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2015,1,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2015,2,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2015,3,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2015,4,U$/MT,
lead-zinc,Lead-Zinc Ore,1/3*LME-Lead Cash S76873(P) + 2/3*LME-SHG Zinc 99.995% Cash U$/MT,2016,1,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1983,1,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1983,2,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1983,3,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1983,4,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1984,1,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1984,2,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1984,3,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1984,4,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1985,1,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1985,2,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1985,3,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1985,4,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1986,1,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1986,2,U$/MT,
aluminum,Aluminum Ore-Bauxite,LME-Aluminium 99.7% Cash ,1986,3,U$/MT,
